== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  counter      byte-fold plain  ent     9.0956s     0.0166s     9.0737s     9.1201s       112.6
  counter      byte-fold plain    1     0.3999s     0.0030s     0.3972s     0.4043s      2560.8
  counter      byte-fold plain    2     0.2437s     0.0012s     0.2423s     0.2449s      4201.9
  counter      byte-fold plain    4     0.1401s     0.0018s     0.1373s     0.1424s      7310.2
  counter      byte-fold plain    8     0.0909s     0.0070s     0.0835s     0.0996s     11269.7
  counter      byte-fold plain   16     0.0718s     0.0047s     0.0646s     0.0766s     14256.3
  counter      byte-fold plain   24     0.0693s     0.0019s     0.0665s     0.0713s     14773.3
  counter      byte-fold e        1     1.7583s     0.0047s     1.7539s     1.7637s       582.4
  counter      byte-fold e        2     0.9464s     0.0021s     0.9435s     0.9491s      1082.0
  counter      byte-fold e        4     0.5204s     0.0036s     0.5161s     0.5255s      1967.7
  counter      byte-fold e        8     0.3152s     0.0073s     0.3101s     0.3270s      3248.8
  counter      byte-fold e       16     0.2854s     0.0049s     0.2773s     0.2906s      3588.6
  counter      byte-fold e       24     0.3005s     0.0083s     0.2958s     0.3152s      3408.0
  counter      byte-fold ee       1     2.3803s     0.0076s     2.3756s     2.3937s       430.2
  counter      byte-fold ee       2     1.2710s     0.0031s     1.2665s     1.2746s       805.7
  counter      byte-fold ee       4     0.6852s     0.0021s     0.6816s     0.6869s      1494.4
  counter      byte-fold ee       8     0.4130s     0.0108s     0.3991s     0.4256s      2479.4
  counter      byte-fold ee      16     0.3752s     0.0132s     0.3639s     0.3976s      2729.1
  counter      byte-fold ee      24     0.3928s     0.0077s     0.3877s     0.4060s      2606.8
  counter      fips      -        1     3.1256s     0.0079s     3.1120s     3.1315s       327.6
  counter      fips      -        2     1.6252s     0.0007s     1.6245s     1.6263s       630.1
  counter      fips      -        4     0.8568s     0.0019s     0.8546s     0.8592s      1195.1
  counter      fips      -        8     0.4618s     0.0049s     0.4572s     0.4697s      2217.6
  counter      fips      -       16     0.3619s     0.0072s     0.3554s     0.3720s      2829.8
  counter      fips      -       24     0.3446s     0.0019s     0.3431s     0.3478s      2971.7
  dna          byte      plain  ent     8.3312s     0.0385s     8.2903s     8.3881s       122.9
  dna          byte      plain    1     0.3234s     0.0090s     0.3175s     0.3392s      3166.2
  dna          byte      plain    2     0.2051s     0.0034s     0.2032s     0.2112s      4992.4
  dna          byte      plain    4     0.1227s     0.0025s     0.1184s     0.1249s      8348.1
  dna          byte      plain    8     0.0780s     0.0026s     0.0750s     0.0809s     13124.8
  dna          byte      plain   16     0.0665s     0.0043s     0.0627s     0.0734s     15389.0
  dna          byte      plain   24     0.0627s     0.0041s     0.0582s     0.0685s     16329.8
  dna          byte      e        1     3.1806s     0.0125s     3.1691s     3.2012s       322.0
  dna          byte      e        2     1.6714s     0.0127s     1.6612s     1.6931s       612.7
  dna          byte      e        4     0.8933s     0.0086s     0.8839s     0.9056s      1146.3
  dna          byte      e        8     0.5001s     0.0139s     0.4851s     0.5222s      2047.4
  dna          byte      e       16     0.3630s     0.0061s     0.3585s     0.3733s      2821.3
  dna          byte      e       24     0.3395s     0.0067s     0.3327s     0.3471s      3016.5
  dna          byte      ee       1     4.8758s     0.0967s     4.7049s     4.9306s       210.0
  dna          byte      ee       2     2.5298s     0.0183s     2.5098s     2.5488s       404.8
  dna          byte      ee       4     1.3662s     0.0133s     1.3478s     1.3788s       749.5
